AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE,DiaDaSemana,Mes
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Outros meios,04/01/2020,Masculino,41,Ceará,Brazil,-3.9841,-38.6180383,Sábado,Janeiro
AIS 20,Quixadá,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Feminino,22,Ceará,Brazil,-4.970602099999999,-39.0158403,Sábado,Janeiro
AIS 20,Quixadá,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Feminino,43,Ceará,Brazil,-4.970602099999999,-39.0158403,Sábado,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,34,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 17,Umirim,HOMICIDIO DOLOSO,Arma branca,04/01/2020,Masculino,57,Ceará,Brazil,-3.6777738,-39.348725,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Masculino,33,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Domingo,Janeiro
AIS 20,Solonópole,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Masculino,29,Ceará,Brazil,-5.732909200000001,-39.0098669,Domingo,Janeiro
AIS 11,Caucaia,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,05/01/2020,Masculino,22,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Domingo,Janeiro
AIS 19,Juazeiro do Norte,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma branca,05/01/2020,Feminino,34,Ceará,Brazil,-7.215345299999999,-39.3153336,Domingo,Janeiro
AIS 14,Sobral,FEMINICÍDIO,Arma branca,05/01/2020,Feminino,74,Ceará,Brazil,-3.6879135,-40.34563720000001,Domingo,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Masculino,28,Ceará,Brazil,-3.8922967000000006,-38.6835427,Domingo,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Feminino,32,Ceará,Brazil,-3.7304512,-38.5217989,Domingo,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Feminino,22,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma branca,06/01/2020,Masculino,35,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,39,Ceará,Brazil,-3.8779437999999993,-38.6247697,Segunda,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,23,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Segunda,Janeiro
AIS 20,Banabuiú,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Feminino,28,Ceará,Brazil,-5.3046404,-38.919766,Segunda,Janeiro
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,24,Ceará,Brazil,-7.215345299999999,-39.3153336,Segunda,Janeiro
AIS 6,Fortaleza,FEMINICÍDIO,Arma de fogo,07/01/2020,Feminino,48,Ceará,Brazil,-3.7304512,-38.5217989,Terça,Janeiro
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,15,Ceará,Brazil,-3.9841,-38.6180383,Terça,Janeiro
AIS 19,Missão Velha,HOMICIDIO DOLOSO,Arma branca,07/01/2020,Masculino,20,Ceará,Brazil,-7.248491,-39.1434843,Terça,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,18,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Terça,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Feminino,17,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Terça,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,53,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Terça,Janeiro
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Feminino,21,Ceará,Brazil,-4.171073000000002,-38.464988,Terça,Janeiro
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,31,Ceará,Brazil,-4.171073000000002,-38.464988,Terça,Janeiro
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,29,Ceará,Brazil,-3.6879135,-40.34563720000001,Terça,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,31,Ceará,Brazil,-3.7304512,-38.5217989,Terça,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,17,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,19,Ceará,Brazil,-3.8779437999999993,-38.6247697,Quarta,Janeiro
AIS 18,Iracema,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,23,Ceará,Brazil,-5.8106219,-38.3028294,Quarta,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,21,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quarta,Janeiro
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.9063117,-38.387504,Quinta,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.8779437999999993,-38.6247697,Quinta,Janeiro
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,27,Ceará,Brazil,-4.129666,-38.24117800000001,Quinta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,44,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quinta,Janeiro
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,28,Ceará,Brazil,-4.096461799999998,-38.49655739999999,Quinta,Janeiro
AIS 21,Cedro,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,65,Ceará,Brazil,-6.6065382,-39.0599487,Quinta,Janeiro
AIS 21,Várzea Alegre,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,25,Ceará,Brazil,-6.7936089000000015,-39.2989333,Sexta,Janeiro
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,34,Ceará,Brazil,-4.171073000000002,-38.464988,Sexta,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,31,Ceará,Brazil,-3.8779437999999993,-38.6247697,Sexta,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,36,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,34,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sábado,Janeiro
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,28,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,11,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,19,Ceará,Brazil,-3.9841,-38.6180383,Sábado,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989,Domingo,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,35,Ceará,Brazil,-3.8779437999999993,-38.6247697,Domingo,Janeiro
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,30,Ceará,Brazil,-7.215345299999999,-39.3153336,Domingo,Janeiro
AIS 19,Caririaçu,HOMICIDIO DOLOSO,Outros meios,12/01/2020,Masculino,50,Ceará,Brazil,-7.0417053,-39.2835527,Domingo,Janeiro
AIS 15,Redenção,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,24,Ceará,Brazil,-4.2243979000000005,-38.7278461,Domingo,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,22,Ceará,Brazil,-3.8779437999999993,-38.6247697,Domingo,Janeiro
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,16,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 15,Aratuba,HOMICIDIO DOLOSO,Arma branca,13/01/2020,Masculino,38,Ceará,Brazil,-4.4195958,-39.0463737,Segunda,Janeiro
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Outros meios,13/01/2020,Masculino,32,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,36,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,23,Ceará,Brazil,-4.129666,-38.24117800000001,Segunda,Janeiro
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989,Segunda,Janeiro
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,21,Ceará,Brazil,-3.799447,-40.263405,Terça,Janeiro
AIS 20,Senador Pompeu,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,28,Ceará,Brazil,-5.5874386,-39.3730901,Terça,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989,Terça,Janeiro
AIS 13,Eusébio,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.8889838,-38.4546585,Terça,Janeiro
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.9841,-38.6180383,Terça,Janeiro
AIS 14,Santana do Acaraú,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,26,Ceará,Brazil,-3.4596492,-40.20909870000001,Terça,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,16,Ceará,Brazil,-3.8922967000000006,-38.6835427,Terça,Janeiro
AIS 11,São Gonçalo do Amarante,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,24,Ceará,Brazil,-3.6099755,-38.96871820000001,Terça,Janeiro
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,52,Ceará,Brazil,-4.129666,-38.24117800000001,Terça,Janeiro
AIS 13,Chorozinho,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,14/01/2020,Masculino,32,Ceará,Brazil,-4.3010895,-38.4976923,Terça,Janeiro
AIS 12,Itaitinga,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,34,Ceará,Brazil,-3.965768,-38.529763,Terça,Janeiro
AIS 21,Lavras da Mangabeira,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Feminino,18,Ceará,Brazil,-6.756754099999998,-38.978435941213945,Terça,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989,Terça,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,27,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quarta,Janeiro
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,76,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,23,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quarta,Janeiro
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,22,Ceará,Brazil,-4.096461799999998,-38.49655739999999,Quarta,Janeiro
AIS 15,Capistrano,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,36,Ceará,Brazil,-4.4644692,-38.8956734,Quarta,Janeiro
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,21,Ceará,Brazil,-3.8779437999999993,-38.6247697,Quinta,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,23,Ceará,Brazil,-3.8922967000000006,-38.6835427,Quinta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,17,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,30,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,19,Ceará,Brazil,-3.6879135,-40.34563720000001,Quinta,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,47,Ceará,Brazil,-3.6879135,-40.34563720000001,Quinta,Janeiro
AIS 3,Fortaleza,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,17/01/2020,Masculino,42,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 15,Caridade,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,59,Ceará,Brazil,-4.2316487,-39.1946515,Sexta,Janeiro
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Feminino,27,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 18,Pereiro,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,25,Ceará,Brazil,-6.0462690000000014,-38.4604192,Sexta,Janeiro
AIS 16,Ipueiras,HOMICIDIO DOLOSO,Outros meios,17/01/2020,Masculino,64,Ceará,Brazil,-4.5427141,-40.7168461,Sexta,Janeiro
AIS 11,Trairi,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,22,Ceará,Brazil,-3.2741504,-39.2649188,Sexta,Janeiro
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,28,Ceará,Brazil,-3.799447,-40.263405,Sexta,Janeiro
AIS 21,Várzea Alegre,HOMICIDIO DOLOSO,Outros meios,17/01/2020,Masculino,21,Ceará,Brazil,-6.7936089000000015,-39.2989333,Sexta,Janeiro
AIS 22,Tauá,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Feminino,49,Ceará,Brazil,-6.0031372,-40.2947268,Sexta,Janeiro
AIS 18,Russas,FEMINICÍDIO,Arma branca,17/01/2020,Feminino,54,Ceará,Brazil,-4.9354279000000005,-37.9783838,Sexta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma branca,17/01/2020,Masculino,26,Ceará,Brazil,-4.096461799999998,-38.49655739999999,Sexta,Janeiro
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,24,Ceará,Brazil,-3.799447,-40.263405,Sexta,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,40,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sábado,Janeiro
AIS 18,Fortim,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Feminino,58,Ceará,Brazil,-4.451256,-37.798056,Sábado,Janeiro
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,35,Ceará,Brazil,-3.9841,-38.6180383,Sábado,Janeiro
AIS 20,Deputado Irapuan Pinheiro,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,69,Ceará,Brazil,-5.7306317,-39.0074314,Sábado,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,43,Ceará,Brazil,-3.8922967000000006,-38.6835427,Sábado,Janeiro
AIS 18,São João do Jaguaribe,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,29,Ceará,Brazil,-5.2719441,-38.271993,Sábado,Janeiro
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,49,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 11,Paraipaba,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,15,Ceará,Brazil,-3.437987,-39.147868,Sábado,Janeiro
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Masculino,15,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sábado,Janeiro
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 16,Pires Ferreira,HOMICIDIO DOLOSO,Outros meios,18/01/2020,Feminino,66,Ceará,Brazil,-4.2453181,-40.6437501,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Feminino,34,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sábado,Janeiro
AIS 18,Fortim,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Masculino,77,Ceará,Brazil,-4.451256,-37.798056,Sábado,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,22,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sábado,Janeiro
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,30,Ceará,Brazil,-3.7304512,-38.5217989,Domingo,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,31,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Domingo,Janeiro
AIS 18,Quixeré,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,18,Ceará,Brazil,-5.074284099999999,-37.9892825,Domingo,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,19,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Domingo,Janeiro
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,32,Ceará,Brazil,-4.171073000000002,-38.464988,Domingo,Janeiro
