AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 20,Dep. Irapuan Pinheiro,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,69,Ceará,Brazil,-5.7306317,-39.0074314
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,43,Ceará,Brazil,-3.8922967,-38.6835427
AIS 18,São João do Jaguaribe,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,29,Ceará,Brazil,-5.2719441,-38.271993
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,49,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Paraipaba,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,15,Ceará,Brazil,-3.437987,-39.147868
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Masculino,15,Ceará,Brazil,-3.7300563,-38.6593082
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989
AIS 16,Pires Ferreira,HOMICIDIO DOLOSO,Outros meios,18/01/2020,Feminino,66,Ceará,Brazil,-4.2453181,-40.6437501
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Feminino,34,Ceará,Brazil,-3.7300563,-38.6593082
AIS 18,Fortim,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Masculino,77,Ceará,Brazil,-4.451256,-37.798056
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,22,Ceará,Brazil,-3.7300563,-38.6593082
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,30,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,31,Ceará,Brazil,-3.7300563,-38.6593082
AIS 18,Quixeré,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,18,Ceará,Brazil,-5.0742841,-37.9892825
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,19,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,32,Ceará,Brazil,-4.171073,-38.464988
AIS 20,Choró,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,38,Ceará,Brazil,-4.8435726,-39.1393071
